GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,PacketAssembler,557,0,48,0,122,0,31,0,7,0
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,StampRegistry.Status,28,0,0,0,7,0,3,0,3,0
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,ChangeManifest.ChangeEntity,0,18,0,0,0,1,0,1,0,1
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,GitSource,879,0,108,0,187,0,75,0,20,0
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,AdocDiffMarker.MarkResult,0,15,0,0,0,1,0,1,0,1
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,AdocDiffMarker.State,0,53,0,12,0,13,0,9,0,3
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,ChangeStatus,27,0,0,0,5,0,1,0,1,0
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,PacketAssembler.TopicEntry,12,0,0,0,1,0,1,0,1,0
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,AdocDiffMarker,78,1273,46,138,21,250,42,77,0,27
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,GitSource.CommitMeta,0,21,0,0,0,1,0,1,0,1
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,RegistryIndex,226,190,30,26,35,33,30,13,10,5
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,PacketAssembler.ScaffoldEntry,9,0,0,0,1,0,1,0,1,0
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,StampRegistry.Stamp,27,0,0,0,1,0,1,0,1,0
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,AdocDiffMarker.DiagramBlock,0,12,0,0,0,1,0,1,0,1
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,StampRegistry,251,0,22,0,42,0,21,0,10,0
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,RegistryDelta,851,0,91,0,140,0,64,0,18,0
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,ChangeManifest,116,163,13,15,19,31,11,14,4,7
IKE Doc Maven Plugin,network.ike.docs.plugin.diff,GitSource.Change,21,0,2,0,2,0,3,0,2,0
IKE Doc Maven Plugin,network.ike.docs.plugin,PatchDocbookMojo,18,91,2,4,4,22,2,7,0,6
IKE Doc Maven Plugin,network.ike.docs.plugin,DocDiffMojo,1432,0,170,0,277,0,112,0,27,0
IKE Doc Maven Plugin,network.ike.docs.plugin,ScanRendererLogsMojo,18,187,4,18,5,46,4,15,0,8
IKE Doc Maven Plugin,network.ike.docs.plugin,AdocStudioMojo,305,20,16,4,67,5,16,4,8,2
IKE Doc Maven Plugin,network.ike.docs.plugin,OutputValidator,370,0,107,0,62,0,59,0,5,0
IKE Doc Maven Plugin,network.ike.docs.plugin,CopyDocsToSiteMojo,139,0,10,0,32,0,11,0,6,0
IKE Doc Maven Plugin,network.ike.docs.plugin,Backend,74,0,6,0,16,0,10,0,6,0
IKE Doc Maven Plugin,network.ike.docs.plugin,LintSiteMojo,114,146,12,20,25,37,11,11,3,3
IKE Doc Maven Plugin,network.ike.docs.plugin,AsciidocMojo,973,0,124,0,208,0,84,0,20,0
IKE Doc Maven Plugin,network.ike.docs.plugin,OutputValidator.Severity,15,0,0,0,3,0,1,0,1,0
IKE Doc Maven Plugin,network.ike.docs.plugin,AsciidocMojo.MavenLogHandler,89,0,16,0,22,0,10,0,2,0
IKE Doc Maven Plugin,network.ike.docs.plugin,RenderPdfMojo.RendererType,59,0,0,0,11,0,3,0,3,0
IKE Doc Maven Plugin,network.ike.docs.plugin,DocDiffMojo.new AdocDiffMarker.StampSource() {...},56,0,6,0,6,0,6,0,3,0
IKE Doc Maven Plugin,network.ike.docs.plugin,PrepareRendererOutputMojo,117,0,18,0,19,0,13,0,4,0
IKE Doc Maven Plugin,network.ike.docs.plugin,PackageDocMojo.new SimpleFileVisitor() {...},0,39,0,0,0,8,0,2,0,2
IKE Doc Maven Plugin,network.ike.docs.plugin,RenderPdfMojo,841,0,99,0,186,0,72,0,19,0
IKE Doc Maven Plugin,network.ike.docs.plugin,InjectBreadcrumbMojo,54,151,6,14,10,38,5,13,0,8
IKE Doc Maven Plugin,network.ike.docs.plugin,CopyDefaultPdfMojo,112,0,8,0,28,0,8,0,4,0
IKE Doc Maven Plugin,network.ike.docs.plugin,FixSvgMojo,23,78,2,6,6,22,2,7,0,5
IKE Doc Maven Plugin,network.ike.docs.plugin,OutputValidator.Issue,42,0,0,0,2,0,2,0,2,0
IKE Doc Maven Plugin,network.ike.docs.plugin,OutputValidator.new SimpleFileVisitor() {...},34,0,2,0,4,0,3,0,2,0
IKE Doc Maven Plugin,network.ike.docs.plugin,IdocGoal,35,140,4,0,6,21,6,4,4,4
IKE Doc Maven Plugin,network.ike.docs.plugin,PackageDocMojo,95,31,4,2,24,6,6,2,4,1
